StateFIPCode,ZipCode,StateAbbr,City,Longitude,Latitude,Population,AllocationPercentage
08,80005,CO,ARVADA,105.10971900,39.84218900,22613,.0068640000
08,80010,CO,AURORA,104.86461800,39.73678800,27090,.0082230000
08,80011,CO,AURORA,104.81523300,39.73780900,36021,.0109340000
08,80012,CO,AURORA,104.83769300,39.69867200,37711,.0114470000
08,80013,CO,AURORA,104.78456600,39.65745700,45335,.0137610000
08,80014,CO,AURORA,104.83495400,39.66617100,31059,.0094280000
08,80015,CO,AURORA,104.78743800,39.62552000,28161,.0085480000
08,80016,CO,AURORA,104.74173400,39.61871300,4085,.0012400000
08,80017,CO,AURORA,104.78809300,39.69482700,25910,.0078650000
08,80018,CO,AURORA,104.70710200,39.71017900,321,.0000970000
08,80019,CO,AURORA,104.70690600,39.76560800,46,.0000140000
08,80020,CO,BROOMFIELD,105.06090200,39.92451300,31533,.0095720000
08,80021,CO,WESTMINSTER,105.10283700,39.87599600,20461,.0062110000
08,80022,CO,COMMERCE CITY,104.91134900,39.82587500,23205,.0070440000
08,80026,CO,LAFAYETTE,105.09634600,39.99796400,17111,.0051940000
08,80027,CO,LOUISVILLE,105.14555700,39.97894200,12612,.0038280000
08,80030,CO,WESTMINSTER,105.03708600,39.85423800,43235,.0131240000
08,80033,CO,WHEAT RIDGE,105.09619500,39.77403600,23040,.0069940000
08,80045,CO,AURORA,104.83795400,39.74801400,1715,.0005210000
08,80101,CO,AGATE,103.98457500,39.42025600,230,.0000700000
08,80102,CO,BENNETT,104.42728400,39.72539800,3885,.0011790000
08,80103,CO,BYERS,104.20187200,39.69845400,1448,.0004400000
08,80104,CO,CASTLE ROCK,104.86018700,39.39256000,11763,.0035710000
08,80105,CO,DEER TRAIL,104.06800300,39.59312100,634,.0001920000
08,80106,CO,ELBERT,104.57463100,39.09689200,1808,.0005490000
08,80107,CO,ELIZABETH,104.59196100,39.38361800,4973,.0015100000
08,80110,CO,CHERRY HILLS VIL,104.99002200,39.64602700,40226,.0122100000
08,80111,CO,CHERRY HILLS VIL,104.88283200,39.61032700,20230,.0061410000
08,80112,CO,ENGLEWOOD,104.90111500,39.58051000,20210,.0061350000
08,80116,CO,FRANKTOWN,104.72556900,39.37284100,3742,.0011360000
08,80117,CO,KIOWA,104.45226300,39.32397200,680,.0002060000
08,80118,CO,LARKSPUR,104.85458700,39.20107900,1424,.0004320000
08,80120,CO,LITTLETON,105.00440000,39.59942600,24992,.0075860000
08,80121,CO,GREENWOOD VILLAG,104.95728500,39.60583500,17238,.0052330000
08,80122,CO,LITTLETON,104.95567300,39.58141800,31135,.0094510000
08,80123,CO,BOW MAR,105.07766000,39.59685400,59418,.0180360000
08,80124,CO,LITTLETON,104.89720400,39.55061000,5393,.0016370000
08,80125,CO,LITTLETON,105.05609800,39.48446600,3230,.0009800000
08,80126,CO,HIGHLANDS RANCH,104.96375100,39.55134000,13649,.0041430000
08,80127,CO,LITTLETON,105.13281100,39.59196800,23204,.0070430000
08,80132,CO,MONUMENT,104.85416000,39.10072600,7411,.0022500000
