FullDateALternateKey	OrganizationName	DepartmentGroupName	ScenarioName	AccountCodeAlternateKey	ParentAccountCodeAlternateKey	Amount
7/1/2006 0:00	Northeast Division	Research and Development	Actual	9540	9500	45000
7/1/2006 0:00	Northwest Division	Research and Development	Actual	9540	9500	63000
7/1/2006 0:00	Central Division	Research and Development	Actual	9540	9500	38500
7/1/2006 0:00	Southeast Division	Research and Development	Actual	9540	9500	9000
7/1/2006 0:00	Southwest Division	Research and Development	Actual	9540	9500	29500
7/1/2006 0:00	Canadian Division	Research and Development	Actual	9540	9500	34500
7/1/2006 0:00	Northeast Division	Research and Development	Budget	4500	4110	3200
7/1/2006 0:00	Northeast Division	Research and Development	Budget	4130	4100	2600
7/1/2006 0:00	Northeast Division	Research and Development	Budget	5020	5000	27200
7/1/2006 0:00	Northeast Division	Research and Development	Budget	5050	5000	3800
7/1/2006 0:00	Northwest Division	Research and Development	Budget	4500	4110	3900
7/1/2006 0:00	Northwest Division	Research and Development	Budget	4130	4100	-1600
7/1/2006 0:00	Northwest Division	Research and Development	Budget	5020	5000	55000
7/1/2006 0:00	Northwest Division	Research and Development	Budget	5050	5000	1500
7/1/2006 0:00	Central Division	Research and Development	Budget	4500	4110	2200
7/1/2006 0:00	Central Division	Research and Development	Budget	4130	4100	-250
7/1/2006 0:00	Central Division	Research and Development	Budget	5020	5000	22700
7/1/2006 0:00	Central Division	Research and Development	Budget	5050	5000	500
7/1/2006 0:00	Southeast Division	Research and Development	Budget	4500	4110	8300
7/1/2006 0:00	Southeast Division	Research and Development	Budget	4130	4100	4100
7/1/2006 0:00	Southeast Division	Research and Development	Budget	5020	5000	40600
7/1/2006 0:00	Southeast Division	Research and Development	Budget	5050	5000	6700
7/1/2006 0:00	Southwest Division	Research and Development	Budget	4500	4110	900
7/1/2006 0:00	Southwest Division	Research and Development	Budget	4130	4100	1100
7/1/2006 0:00	Southwest Division	Research and Development	Budget	5020	5000	28900
7/1/2006 0:00	Southwest Division	Research and Development	Budget	5050	5000	2300
7/1/2006 0:00	Canadian Division	Research and Development	Budget	4500	4110	2200
7/1/2006 0:00	Canadian Division	Research and Development	Budget	4130	4100	4800
7/1/2006 0:00	Canadian Division	Research and Development	Budget	5020	5000	69900
7/1/2006 0:00	Canadian Division	Research and Development	Budget	5050	5000	9600
7/1/2006 0:00	Northeast Division	Research and Development	Budget	4200	4110	91800
7/1/2006 0:00	Northwest Division	Research and Development	Budget	4200	4110	123900
7/1/2006 0:00	Central Division	Research and Development	Budget	4200	4110	53300
7/1/2006 0:00	Southeast Division	Research and Development	Budget	4200	4110	162900
7/1/2006 0:00	Southwest Division	Research and Development	Budget	4200	4110	70400
7/1/2006 0:00	Canadian Division	Research and Development	Budget	4200	4110	241800
7/1/2006 0:00	Northeast Division	Corporate	Actual	6000	600	22080
7/1/2006 0:00	Northeast Division	Corporate	Actual	6020	600	2208
7/1/2006 0:00	Northeast Division	Corporate	Actual	6040	600	1546
7/1/2006 0:00	Northeast Division	Corporate	Actual	6200	620	378
7/1/2006 0:00	Northeast Division	Corporate	Actual	6210	620	344
7/1/2006 0:00	Northeast Division	Corporate	Actual	6220	620	174
7/1/2006 0:00	Northeast Division	Corporate	Actual	6230	620	132
7/1/2006 0:00	Northeast Division	Corporate	Actual	6240	620	38
7/1/2006 0:00	Northeast Division	Corporate	Actual	6300	630	54
7/1/2006 0:00	Northeast Division	Corporate	Actual	6400	60	250
7/1/2006 0:00	Northeast Division	Corporate	Actual	6500	60	114
7/1/2006 0:00	Northeast Division	Corporate	Actual	6610	660	297
7/1/2006 0:00	Northeast Division	Corporate	Actual	6620	660	535
7/1/2006 0:00	Northeast Division	Corporate	Actual	6700	60	153
7/1/2006 0:00	Northeast Division	Corporate	Actual	6810	680	586
7/1/2006 0:00	Northeast Division	Corporate	Actual	6820	680	363
7/1/2006 0:00	Northeast Division	Corporate	Actual	6830	680	35
7/1/2006 0:00	Northeast Division	Corporate	Actual	6840	680	123
7/1/2006 0:00	Northeast Division	Corporate	Actual	6850	680	103
7/1/2006 0:00	Northeast Division	Corporate	Actual	6860	680	98
7/1/2006 0:00	Northeast Division	Corporate	Actual	6920	60	540
7/1/2006 0:00	Northeast Division	Corporate	Actual	8000	80	201
7/1/2006 0:00	Northeast Division	Corporate	Actual	8010	80	309
7/1/2006 0:00	Northeast Division	Corporate	Actual	8020	80	-247
7/1/2006 0:00	Northeast Division	Corporate	Actual	8030	80	412
7/1/2006 0:00	Northeast Division	Corporate	Actual	8500	4	214
7/1/2006 0:00	Northeast Division	Corporate	Actual	9510	9500	12
7/1/2006 0:00	Northeast Division	Corporate	Budget	6000	600	20200
7/1/2006 0:00	Northeast Division	Corporate	Budget	6020	600	2000
7/1/2006 0:00	Northeast Division	Corporate	Budget	6040	600	1800
7/1/2006 0:00	Northeast Division	Corporate	Budget	6200	620	380
7/1/2006 0:00	Northeast Division	Corporate	Budget	6210	620	380
7/1/2006 0:00	Northeast Division	Corporate	Budget	6220	620	200
7/1/2006 0:00	Northeast Division	Corporate	Budget	6230	620	100
7/1/2006 0:00	Northeast Division	Corporate	Budget	6300	630	70
7/1/2006 0:00	Northeast Division	Corporate	Budget	6400	60	300
7/1/2006 0:00	Northeast Division	Corporate	Budget	6500	60	100
7/1/2006 0:00	Northeast Division	Corporate	Budget	6610	660	280
7/1/2006 0:00	Northeast Division	Corporate	Budget	6620	660	480
7/1/2006 0:00	Northeast Division	Corporate	Budget	6700	60	200
7/1/2006 0:00	Northeast Division	Corporate	Budget	6810	680	550
7/1/2006 0:00	Northeast Division	Corporate	Budget	6820	680	380
7/1/2006 0:00	Northeast Division	Corporate	Budget	6830	680	40
7/1/2006 0:00	Northeast Division	Corporate	Budget	6840	680	100
7/1/2006 0:00	Northeast Division	Corporate	Budget	6850	680	100
7/1/2006 0:00	Northeast Division	Corporate	Budget	6860	680	100
7/1/2006 0:00	Northeast Division	Corporate	Budget	6920	60	480
7/1/2006 0:00	Northeast Division	Executive General and Administration	Actual	1166	1160	23197
7/1/2006 0:00	Northeast Division	Research and Development	Actual	4500	4110	3059
7/1/2006 0:00	Northeast Division	Research and Development	Actual	4130	4100	2294
7/1/2006 0:00	Northeast Division	Research and Development	Actual	5020	5000	33968
7/1/2006 0:00	Northeast Division	Research and Development	Actual	5050	5000	3186
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6000	600	16320
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6020	600	1632
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6040	600	979
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6100	60	1912
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6200	620	220
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6210	620	200
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6220	620	104
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6230	620	76
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6240	620	22
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6300	630	32
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6310	630	153
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6400	60	151
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6500	60	96
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6610	660	486
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6620	660	346
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6700	60	113
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6810	680	449
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6820	680	278
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6830	680	29
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6840	680	102
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6850	680	92
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6860	680	82
7/1/2006 0:00	Northeast Division	Research and Development	Actual	6920	60	360
7/1/2006 0:00	Northeast Division	Research and Development	Actual	8000	80	179
7/1/2006 0:00	Northeast Division	Research and Development	Actual	8010	80	276
7/1/2006 0:00	Northeast Division	Research and Development	Actual	8020	80	-221
7/1/2006 0:00	Northeast Division	Research and Development	Actual	8030	80	368
7/1/2006 0:00	Northeast Division	Research and Development	Actual	8500	4	3642
7/1/2006 0:00	Northeast Division	Research and Development	Actual	9510	9500	8
7/1/2006 0:00	Northeast Division	Research and Development	Actual	9520	9500	98
7/1/2006 0:00	Northeast Division	Research and Development	Actual	4200	4110	76475
7/1/2006 0:00	Northeast Division	Research and Development	Budget	6000	600	14300
7/1/2006 0:00	Northeast Division	Research and Development	Budget	6020	600	1600
